PTC data Detect 22, R03_S11_C06
Mean(ADU)                Variance(ADU)
22.241798737643464         25.3150489088594
26.559202266786603         28.05883982205604
31.860388393072345         30.741068142112454
37.90332034962674         33.423586722359715
43.893044981030684         36.60161157730076
44.78954395985575         37.09341378501999
46.141658374432794         37.80944834288361
46.54132863522251         38.04112328249431
48.220788781152066         38.89724328109373
49.49391701510185         39.70484797828354
50.40078914547838         40.20528224446993
51.717856035822         40.98307273457559
52.87369770383863         41.45595800595817
54.268754021819014         42.34025686172283
55.50085635272802         42.9245150675143
56.850937186610025         43.73185204609937
58.09537142283488         44.36585807544074
59.48271804241534         45.15645265589581
61.23784822301995         46.10914994622735
62.525305030922425         46.81614132154695
63.77922372929182         47.51462642262194
65.62048525142143         48.473143220318626
66.77248650566891         49.286937423318655
68.63170015561701         50.21272595545732
70.33850815422164         51.34819052008687
71.95004277453566         52.208485485207824
73.82844602612334         53.21371162417827
75.44341870845227         54.24704392699455
77.30914410178352         55.33686973174318
79.07146264317203         56.299187794973584
81.04478236915824         57.703117208459524
82.88114349877534         58.90919535094232
85.00247865345476         60.191696033840216
86.72555221483898         61.21960765940301
88.91905806230443         62.61122360825946
91.08748992220819         63.78090669215014
93.33428662254394         65.07261286599443
95.45506958191686         66.22175232835808
97.65893058998489         67.25652197978873
100.32956693150494         68.56900982808301
102.51918809173421         69.36010042061298
105.11478828115207         70.78089772128037
107.69162290246177         71.99830769621613
110.36769750036864         73.36139339374616
112.84454857880573         74.8379502219982
115.32506105868735         76.36960894520372
118.37207024964124         77.79942085348603
121.00416317823458         79.3555517375037
123.92519352575823         81.08463666282375
127.0964905562783         82.72723793233529
130.17949624321074         84.5749201295786
133.18660989437757         86.38395849111278
136.23292856155965         88.126306913296
139.68503547191978         90.05618938533884
142.59066364066985         92.04429220272976
146.15976522350638         94.94694594938859
149.59056204767933         97.06712550361088
153.4844426245677         99.79771288257169
157.06691467162443         101.8115636383507
160.86730802797206         103.86048229933166
164.7698479743342         105.49141808646922
168.58633398366152         106.75904261122027
172.64399031092194         108.67568304468145
176.97147161734213         110.26538013499257
181.33332596980347         112.84852466568545
185.5749860183821         114.84569486656984
189.98504086821         117.44876909791299
194.27302757338546         120.02037803983491
199.06708658475856         122.73514778818168
203.65762806727673         125.53268394324144
208.43923387467177         128.90550711610635
213.69829478967247         132.09427287418237
219.03733246828386         135.02623333815666
224.21852260898646         137.68561704193655
229.31025793893528         140.23542654202032
234.74739142874887         142.77087676464265
240.59840889623487         145.31548722117523
246.34843571390388         148.94412310536444
252.33602050771373         152.72383707694505
258.31097331526485         156.1936366180617
264.4267827799638         161.03071904280583
270.851256577318         166.79211508836894
277.5732309219876         172.10670856608056
284.5936052601348         176.27766193872202
291.0104815732307         179.5661489374955
298.2607221253566         181.20554423264255
305.38338924943446         182.90707055697857
312.91902567925         185.8887062633499
320.1800161377391         189.86611847084725
327.9956314737526         194.6596909548844
335.76818188144         199.32276147521245
344.0488245547423         204.15464405691299
352.3709641465735         208.37642623160468
360.68137983708425         212.49162189249265
369.0183396161016         217.16968702481643
378.33113899790885         222.19462016529275
387.2802240197084         227.85293401315093
396.11016055180244         233.83570141529947
406.03324269084044         240.75158350901418
415.9639041723959         245.99217312870013
425.7046783991268         250.39252701709387
435.9779982845048         255.26956834458747
445.6668351775919         259.38508331428005
457.0507724047496         266.82696339216113
467.50777257232085         272.1781536569091
478.8857587412267         279.57968214163907
490.829538311951         285.2013868773492
502.50373705884374         290.89572140234503
514.6784580427213         299.12407460444103
526.8492745302754         306.69803085790045
539.5806401979451         313.93458490160674
552.4995237246548         320.1613410292456
565.4350807386952         325.6569006442861
579.1685270830669         333.75563618508244
592.96572571141         341.72555265468213
607.7115600965174         350.8553803848341
622.2658661658239         358.49501428203564
637.0337520354624         366.2074161788312
652.3891853930221         376.78819440403294
661.3784626068615         383.6860373808848
668.106567908394         385.9932884523366
676.0669122372794         390.83262518725496
684.0931129907661         394.43877576266254
691.3970017714156         396.61321805733627
705.5401778134484         404.72662746672967
717.4179263912927         410.77153564173733
740.6426148862341         423.5306347655039
759.0539170050571         434.2077290564697
773.7718082330587         444.5231543203516
794.8892373118555         460.1594323750489
814.3133345065538         472.96024815298165
832.4126133982129         480.5056985867049
852.0932258550902         487.0924238063721
873.2338281808288         496.166078359277
888.2789736736754         503.14660710235097
909.128849984228         512.1144827367417
931.8095360364302         525.7917729961258
951.9083795989081         543.5859301423485
974.4923506999271         560.3593761655967
999.3569386342374         570.6778503522802
1022.6955229792698         576.5879073538695
1048.3819620297663         586.6679999920391
1071.0379875779208         600.5165938664582
1099.2863883184884         622.562953091153
1120.9115505219559         635.2495399850424
1147.6608311989266         654.0704762935095
1175.6909509756583         668.8018948078129
1206.615805069814         680.4681099352335
1236.0007572690527         697.6303405265448
1265.833355976125         723.1173361468756
1295.6703239885487         748.9086332866306
1324.812782041311         762.7831741235542
1355.451531091002         768.39322414283
1385.2742259446472         779.6304035749029
1423.1333656967568         802.3116587426748
1454.3623535649256         823.2727394629585
1491.3442330662078         843.5118697633611
1524.3372807049277         853.7680382994388
1565.2967254926843         871.8581172257564
1595.4879162667658         894.7944284030638
1635.4690553733071         927.1488603804866
1673.676826319292         939.9938603806562
1709.5497452296431         956.5344863791948
1753.7369677449242         986.0748831332235
1798.5011711352463         1016.024490297414
1839.7277926406402         1036.4898910753361
1881.9910515772617         1056.7077676954568
1927.5666201649656         1081.540207809868
1972.9901699974625         1106.1196524759457
2018.6801172920834         1130.0972394779858
2072.335400300255         1159.278302068488
2111.1121948336         1182.7418937578034
2171.9601614534217         1217.6198437541038
2216.071239444294         1241.2092697488076
2265.287399789313         1268.9211039307065
2323.125562444212         1308.7269464758426
2376.1080768335023         1331.4531616128895
2433.851607576617         1365.2231092343384
2492.4862358152104         1394.4743938705067
2557.847592794874         1428.6878906609302
2616.5796781492672         1458.1510182367301
2675.8775555756956         1493.7541856346136
2735.919255364671         1526.5086514319828
2805.77960582407         1567.459528531117
2872.937834165259         1607.3711429532143
2936.515660919721         1633.5069625279586
3008.2050104161017         1670.2523043785875
3076.998435119588         1707.9048848137581
3150.117001972929         1745.8908125806379
3234.4690854487544         1801.8461162661297
3315.340104860483         1862.7303244155935
3392.8832338745283         1905.3745485562135
3476.4718753595653         1933.8976304003497
3551.915789291421         1969.3793349731905
3635.1091860802444         2008.9323730970475
3720.1244155153026         2060.106709042959
3812.651881954651         2118.8563158579786
3906.6774407523817         2177.6539339636315
3994.702493954895         2212.8939645248925
4091.20473454348         2268.199698947628
4186.8573050665955         2317.0236427741447
4289.633813392415         2379.3227091902263
4380.249360269116         2435.0803036903367
4497.524867865526         2484.982148204003
4604.206800044725         2546.2408166499276
4713.62142885536         2603.262487362746
4826.16786281149         2666.468646945112
4952.3821548815795         2745.6205407231528
5065.197410360091         2798.2052797238157
5177.479173736954         2843.626421448409
5312.087889009652         2942.3826648941367
5441.884217271789         3026.955080496071
5574.666095397352         3068.6469101605967
5710.851893689734         3132.5778276165306
5828.057574583551         3212.4369197166407
5976.528217231796         3297.9478574799127
6128.74493013573         3369.1964124191245
6276.840777972611         3454.658158765575
6422.705561631256         3536.0616620736687
6575.078069832774         3610.3506516369885
6728.022575117833         3695.637503562772
6899.548861013223         3794.431908284837
7042.9513697228         3868.836694551966
7231.703208674813         3960.7394160347258
7379.016371816412         4054.539929356561
7574.954599620925         4158.569422114144
7761.120531607396         4239.090344811026
7943.511795616319         4358.143020158047
8126.604287817507         4450.172893698022
8316.9936678747         4543.986713521229
8536.95434677518         4660.785547700125
8728.930706357045         4738.7155317823335
8947.32760532213         4894.328055365039
9150.80566271022         4975.44367213831
9366.782680786342         5116.616701242171
9595.68220014625         5228.9154093705165
9828.32862199011         5332.994830011518
10076.793190422693         5481.220655581948
10310.85456555925         5607.398327398553
10565.884722449664         5730.019212176714
10804.940655456789         5842.825522007692
11062.695922604282         6007.804886314605
11327.418560691338         6118.811248543215
11603.545619946985         6284.212657432912
11892.188001383705         6421.67182653463
12165.112648513084         6572.229481940887
12470.188263785802         6715.018380218537
12733.602817772706         6847.593064674841
13079.95222886041         7031.652224396287
13398.488412578994         7205.733237518345
13693.88697139993         7353.748142209524
14046.76830946314         7559.4098693289725
14387.62439236417         7725.63144673064
14702.607802515351         7871.458463954664
15086.568679568201         8059.449125251393
15406.07181165754         8235.614880563342
15791.675919542287         8435.926778509418
16194.777934705045         8644.845738645383
16587.452187767783         8841.28606078306
16965.055290458535         9020.823736481418
17380.711652144102         9235.671745976015
17788.13056741593         9434.597583136081
18231.956289167214         9667.121322718054
18680.41843693059         9866.017549271859
19118.710280554515         10097.002108459308
19549.449815827073         10353.172003427384
20025.95010789179         10570.969766124614
20508.661337002755         10788.250246510552
21021.915132581977         11048.582071372444
21518.899202544584         11294.643309098175
22055.044524917408         11577.465173367022
22562.38120317257         11785.984086578641
23102.44426091814         12058.929456300231
23691.03785825789         12352.33552543013
24258.437112636966         12618.35170611323
24818.351086609247         12898.284353138408
25407.063580395756         13180.152663424033
26043.95095566989         13466.363542565823
